Surrogate code,Sample_Type,Sample_ID,Study Area,Source_Specific
Suco2014-0,Artefact,AR 3980b,Mt Wellington,Cooks Bay
Suco20141,Artefact,AR 4035,Mt Wellington,Cooks Bay
Suco20142,Artefact,AR 4049,Mt Wellington,Cooks Bay
Suco20143,Artefact,MW 022,Mt Wellington,Cooks Bay
Suco20144,Artefact,AR 3996,Mt Wellington,Hahei
Suco20145,Artefact,AR 4001b,Mt Wellington,Hahei
Suco20146,Artefact,AR 4006b,Mt Wellington,Hahei
Suco20147,Artefact,AR 4010,Mt Wellington,Rotorua
Suco20148,Artefact,AR 3980b,Mt Wellington,Cooks Bay
Suco20149,Artefact,AR 4035,Mt Wellington,Cooks Bay
Suco201410,Artefact,AR 4049,Mt Wellington,Cooks Bay
Suco201411,Artefact,MW 022,Mt Wellington,Cooks Bay
Suco201412,Artefact,BH_FS_19_1,Bream Head,Fanal Island
Suco201413,Artefact,BH_FS_2_1,Bream Head,Fanal Island
Suco201414,Artefact,BH_FS_21_1,Bream Head,Fanal Island
Suco201415,Artefact,BH_FS_22_1,Bream Head,Fanal Island
Suco201416,Artefact,BH_FS_23_1,Bream Head,Fanal Island
Suco201417,Artefact,BH_FS_23_3,Bream Head,Fanal Island
Suco201418,Artefact,BH_FS_23_5,Bream Head,Fanal Island
Suco201419,Artefact,BH_FS_23_6,Bream Head,Fanal Island
Suco201420,Artefact,BH_FS_23_7,Bream Head,Fanal Island
Suco201421,Artefact,BH_FS_23_8,Bream Head,Fanal Island
Suco201422,Artefact,BH_FS_23_9,Bream Head,Fanal Island
Suco201423,Artefact,BH_FS_36_1,Bream Head,Fanal Island
Suco201424,Artefact,AR 4017c,Mt Wellington,Fanal Island
Suco201425,Artefact,AR 4017g,Mt Wellington,Fanal Island
Suco201426,Artefact,AR 4025b,Mt Wellington,Fanal Island
Suco201427,Artefact,AR 4027b,Mt Wellington,Fanal Island
Suco201428,Artefact,AR 4031c,Mt Wellington,Fanal Island
Suco201429,Artefact,AR 3996,Mt Wellington,Hahei
Suco201430,Artefact,AR 4001b,Mt Wellington,Hahei
Suco201431,Artefact,AR 4006b,Mt Wellington,Hahei
Suco201432,Artefact,BH_FS_32_4,Bream Head,Huruiki
Suco201433,Artefact,HB_FS_11_1,Helena Bay,Huruiki
Suco201434,Artefact,HB_FS_11_2,Helena Bay,Huruiki
Suco201435,Artefact,HB_FS_12_1,Helena Bay,Huruiki
Suco201436,Artefact,HB_FS_12_2,Helena Bay,Huruiki
