Surrogate code,Study Area,XRF_Setting,Sample_Type,Source_Zone,Source_Specific,Sample_ID,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,Si_ppm,Ti_ppm,Al_ppm,Fe_ppm,Mn_ppm,Mg_ppm,Ca_ppm,Na_ppm,K_ppm,Bag_Info
Suco2014-0,Mt Wellington,Vacuum 45kv 15ma,Artefact,CVZ-CP,Cooks Bay,AR 3980b,,,,,,394662,455,88259,5221,600,43501,6284,63640,29871,
Suco20141,Mt Wellington,Vacuum 45kv 15ma,Artefact,CVZ-CP,Cooks Bay,AR 4035,,,,,,361744,627,85686,5839,574,36182,6179,48430,24125,
Suco20142,Mt Wellington,Vacuum 45kv 15ma,Artefact,CVZ-CP,Cooks Bay,AR 4049,,,,,,397197,516,88486,6272,802,41326,6351,49068,33093,
Suco20143,Mt Wellington,Vacuum 45kv 15ma,Artefact,CVZ-CP,Cooks Bay,MW 022,,,,,,383408,562,87213,5987,725,38486,6323,53659,31877,
Suco20144,Mt Wellington,Vacuum 45kv 15ma,Artefact,CVZ-CP,Hahei,AR 3996,,,,,,442346,380,93010,10422,754,70791,8329,130244,35143,
Suco20145,Mt Wellington,Vacuum 45kv 15ma,Artefact,CVZ-CP,Hahei,AR 4001b,,,,,,421639,902,90918,8235,879,56967,8802,90131,34518,
Suco20146,Mt Wellington,Vacuum 45kv 15ma,Artefact,CVZ-CP,Hahei,AR 4006b,,,,,,413706,351,90544,9675,676,53824,7723,85044,33268,
Suco20147,Mt Wellington,Vacuum 45kv 15ma,Artefact,TVZ,Rotorua,AR 4010,,,,,,294543,316,80290,2900,344,13080,4955,17087,25794,
Suco20148,Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-CP,Cooks Bay,AR 3980b,138.0,70.2,29.4,152.6,10.2,,,,,,,,,,
Suco20149,Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-CP,Cooks Bay,AR 4035,100.2,52.6,26.7,129.1,7.2,,,,,,,,,,
Suco201410,Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-CP,Cooks Bay,AR 4049,116.6,67.7,29.7,147.5,11.7,,,,,,,,,,
Suco201411,Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-CP,Cooks Bay,MW 022,107.7,61.2,30.6,143.8,10.3,,,,,,,,,,
Suco201412,Bream Head,Green filter 40kv 8ma,Artefact,CVZ-N,Fanal Island,BH_FS_19_1,175.2,32.2,34.8,250.2,8.7,,,,,,,,,,
Suco201413,Bream Head,Green filter 40kv 8ma,Artefact,CVZ-N,Fanal Island,BH_FS_2_1,185.8,35.9,41.0,260.5,9.6,,,,,,,,,,
Suco201414,Bream Head,Green filter 40kv 8ma,Artefact,CVZ-N,Fanal Island,BH_FS_21_1,206.6,39.6,37.2,270.3,9.8,,,,,,,,,,
Suco201415,Bream Head,Green filter 40kv 8ma,Artefact,CVZ-N,Fanal Island,BH_FS_22_1,205.1,36.2,39.1,285.4,10.8,,,,,,,,,,
Suco201416,Bream Head,Green filter 40kv 8ma,Artefact,CVZ-N,Fanal Island,BH_FS_23_1,175.3,33.1,36.5,235.3,13.9,,,,,,,,,,
Suco201417,Bream Head,Green filter 40kv 8ma,Artefact,CVZ-N,Fanal Island,BH_FS_23_3,197.9,37.2,36.2,258.2,11.4,,,,,,,,,,
Suco201418,Bream Head,Green filter 40kv 8ma,Artefact,CVZ-N,Fanal Island,BH_FS_23_5,186.8,32.0,40.8,319.3,11.8,,,,,,,,,,
Suco201419,Bream Head,Green filter 40kv 8ma,Artefact,CVZ-N,Fanal Island,BH_FS_23_6,231.9,38.5,44.6,284.5,12.0,,,,,,,,,,
Suco201420,Bream Head,Green filter 40kv 8ma,Artefact,CVZ-N,Fanal Island,BH_FS_23_7,205.8,38.5,40.8,256.4,9.4,,,,,,,,,,
Suco201421,Bream Head,Green filter 40kv 8ma,Artefact,CVZ-N,Fanal Island,BH_FS_23_8,202.5,39.4,48.1,258.8,11.5,,,,,,,,,,
Suco201422,Bream Head,Green filter 40kv 8ma,Artefact,CVZ-N,Fanal Island,BH_FS_23_9,198.2,39.6,37.6,250.7,13.9,,,,,,,,,,
Suco201423,Bream Head,Green filter 40kv 8ma,Artefact,CVZ-N,Fanal Island,BH_FS_36_1,242.6,39.9,51.5,292.8,9.4,,,,,,,,,,
Suco201424,Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Fanal Island,AR 4017c,206.5,42.7,42.2,270.0,11.8,,,,,,,,,,
Suco201425,Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Fanal Island,AR 4017g,201.6,36.5,45.5,257.4,13.9,,,,,,,,,,
Suco201426,Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Fanal Island,AR 4025b,194.2,39.3,46.7,244.4,14.1,,,,,,,,,,
Suco201427,Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Fanal Island,AR 4027b,202.1,37.6,40.6,268.1,12.7,,,,,,,,,,
Suco201428,Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Fanal Island,AR 4031c,182.4,26.6,35.9,188.2,7.5,,,,,,,,,,
Suco201429,Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-CP,Hahei,AR 3996,137.1,93.4,35.9,192.2,9.9,,,,,,,,,,
Suco201430,Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-CP,Hahei,AR 4001b,131.3,71.4,30.2,157.1,11.6,,,,,,,,,,
