Study Area,XRF_Setting,Sample_Type,Source_Zone,Source_Specific,Sample_ID,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-CP,Cooks Bay,AR 3980b,138.0,70.2,29.4,152.6,10.2,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-CP,Cooks Bay,AR 4035,100.2,52.6,26.7,129.1,7.2,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-CP,Cooks Bay,AR 4049,116.6,67.7,29.7,147.5,11.7,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-CP,Cooks Bay,MW 022,107.7,61.2,30.6,143.8,10.3,,,,
Bream Head,Green filter 40kv 8ma,Artefact,CVZ-N,Fanal Island,BH_FS_19_1,175.2,32.2,34.8,250.2,8.7,,,,
Bream Head,Green filter 40kv 8ma,Artefact,CVZ-N,Fanal Island,BH_FS_2_1,185.8,35.9,41.0,260.5,9.6,,,,
Bream Head,Green filter 40kv 8ma,Artefact,CVZ-N,Fanal Island,BH_FS_21_1,206.6,39.6,37.2,270.3,9.8,,,,
Bream Head,Green filter 40kv 8ma,Artefact,CVZ-N,Fanal Island,BH_FS_22_1,205.1,36.2,39.1,285.4,10.8,,,,
Bream Head,Green filter 40kv 8ma,Artefact,CVZ-N,Fanal Island,BH_FS_23_1,175.3,33.1,36.5,235.3,13.9,,,,
Bream Head,Green filter 40kv 8ma,Artefact,CVZ-N,Fanal Island,BH_FS_23_3,197.9,37.2,36.2,258.2,11.4,,,,
Bream Head,Green filter 40kv 8ma,Artefact,CVZ-N,Fanal Island,BH_FS_23_5,186.8,32.0,40.8,319.3,11.8,,,,
Bream Head,Green filter 40kv 8ma,Artefact,CVZ-N,Fanal Island,BH_FS_23_6,231.9,38.5,44.6,284.5,12.0,,,,
Bream Head,Green filter 40kv 8ma,Artefact,CVZ-N,Fanal Island,BH_FS_23_7,205.8,38.5,40.8,256.4,9.4,,,,
Bream Head,Green filter 40kv 8ma,Artefact,CVZ-N,Fanal Island,BH_FS_23_8,202.5,39.4,48.1,258.8,11.5,,,,
Bream Head,Green filter 40kv 8ma,Artefact,CVZ-N,Fanal Island,BH_FS_23_9,198.2,39.6,37.6,250.7,13.9,,,,
Bream Head,Green filter 40kv 8ma,Artefact,CVZ-N,Fanal Island,BH_FS_36_1,242.6,39.9,51.5,292.8,9.4,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Fanal Island,AR 4017c,206.5,42.7,42.2,270.0,11.8,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Fanal Island,AR 4017g,201.6,36.5,45.5,257.4,13.9,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Fanal Island,AR 4025b,194.2,39.3,46.7,244.4,14.1,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Fanal Island,AR 4027b,202.1,37.6,40.6,268.1,12.7,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Fanal Island,AR 4031c,182.4,26.6,35.9,188.2,7.5,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-CP,Hahei,AR 3996,137.1,93.4,35.9,192.2,9.9,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-CP,Hahei,AR 4001b,131.3,71.4,30.2,157.1,11.6,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-CP,Hahei,AR 4006b,148.5,98.1,31.6,261.7,10.3,,,,
Bream Head,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,BH_FS_32_4,156.2,40.0,37.4,155.2,11.5,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_11_1,135.3,37.9,36.6,162.4,10.9,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_11_2,142.5,37.7,32.4,155.6,13.5,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_12_1,142.4,45.1,37.7,183.4,11.4,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_12_2,160.3,40.0,39.3,177.0,12.5,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_12_3,153.7,34.0,38.6,166.5,14.0,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_13,147.1,36.5,37.3,151.8,10.9,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_17_10,163.1,39.3,38.0,171.2,10.4,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_17_2,125.1,37.0,35.9,164.0,11.3,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_17_3,144.3,35.1,34.4,162.4,14.7,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_17_4,132.5,40.3,36.0,155.7,9.7,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_17_5,142.9,34.6,35.3,173.9,11.8,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_17_6,138.4,38.7,36.4,176.0,11.4,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_17_7,146.8,37.0,34.7,163.2,11.0,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_17_8,139.6,38.8,35.8,164.3,13.8,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_17_9,127.1,38.2,40.6,145.0,10.1,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_1,133.1,37.4,35.1,179.6,13.1,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_10,141.2,36.1,31.9,151.0,12.7,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_11,139.4,36.8,39.3,165.9,11.7,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_12,143.2,38.0,35.7,167.3,13.1,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_13,134.1,36.4,36.9,164.9,10.6,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_14,148.0,39.9,39.3,180.4,10.3,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_15,131.2,38.6,36.4,158.1,12.7,,,,
